EIN2,tier,text,human_label
EIN-23-7337273,HIGH,"the roane county united way, a non-profit organization, exists to improve lives by mobilizing the caring power of the roane county community. our product is community impact. community impact is defined as improving lives by mobilizing communities to create lasting change. we are focused on the following service areas - community safety, children's services, family and senior services, crisis services, health services, basic needs and financial stability. united way partners with businesses, government, and other non-profit, and other non-profit organizations to find solutions to ongoing issues. we promote and encourage the community to give, advocate and volunteer.",0
EIN-81-3841250,HIGH,pioneering evangelization is the reason for our existence. building up christ-centered human communities based on gospel values.,1
EIN-36-3594174,LOW,Support and advocacy for mental illness,0
EIN-91-1886368,LOW,Encouraging advising and supporting pastors missionaries and leaders nationally and globally through evangelism training and mentoring,1
EIN-46-2719935,LOW,Educational and scientific purposes,0
EIN-20-2500649,LOW,feed elderlydisabled and disavantaged,0
EIN-82-1244536,LOW,care for needy,1
EIN-57-0946860,MEDIUM,to raise and provide funds to help people with mental disabilities served by ocdsnb.,0
EIN-02-0346954,LOW,to care for adults with intellectual disabilities.,0
EIN-47-0898802,MEDIUM,"The Laguna Beach Rotary Club Foundation provides grants to educational, civic and social service organizations.",0
EIN-83-0455767,LOW,"To serve abused, abandoned girls in Guatemala.",0
EIN-57-0791112,HIGH,"the mission of reach upstate, inc. is to promote healthy lifestyles through prevention education by providing programs that serve to prevent child abuse, adolescent pregnancy, and substance abuse.",1
EIN-43-1593771,MEDIUM,"assist victims of domestic violence and sexual assault through temporary assistance, education, client advocacy and direct client assistance.",0
EIN-27-0197064,LOW,Providing classical music to audiences at an affordable price.,0
EIN-81-0569155,HIGH,offers humanitarian aid to the people of haiti.,0
EIN-22-2159225,MEDIUM,the organization was formed to sponsor various sports programs for children.,0
EIN-82-2033516,MEDIUM,to care for abandoned cats and help to get them adopted.,0
EIN-59-1514993,HIGH,"DACCO's mission is Working for a Drug-Free Community, One Person, One Family at a Time. As one of Florida's largest community-based providers of behavioral health services, DACCO provided serves over 25,000 persons annually through award-winning drug prevention, intervention and treatment programs. DACCO is accredited by the nationally recognized Commission on Accreditation of Rehabilitation Facilities (CARF) for excellence in its delivery of services and programs.professional, and courteous manner; to sustain a positive, caring, supportive safety-first environment; we are committed to being an inclusive organization where all people are treated fairly and recognized for their individuality. We believe in recognizing, understanding and respecting differences among all people. Every individual at DACCO has an ongoing responsibility to advance diversity.",0
EIN-95-3872454,MEDIUM,"To empower communities, organizations and individuals to handle disputes constructively by developing and designing appropriate and creative solutions that address all interests, needs, and values.",0
EIN-81-4021808,LOW,represent the lgbtq community and its allies,0
EIN-26-0625194,MEDIUM,to promote sustainable living through education about reducing energy use and reducing our impact on the environment.,0
EIN-20-4548573,MEDIUM,promote and encourage historical and educational research concerning the motorcycle and its historby by operating a museum,0
EIN-83-2408435,MEDIUM,"in the compassionate spirit of jenna nicole burleigh, jennas blessing bags foundation strives to improve the current and future quality of life of the homeless population.",1
EIN-51-0596797,HIGH,"organized football and cheerleading programs have been held for approximately 300 children which advance physical conditioning, sports knowledge and team athletic priciples for tri-town children.",0
EIN-23-7283451,HIGH,"to provide a variety of social service, childcare and financial support resources for residents of the town of chatham. the scope of the services changes with the needs of the constituents and defined by community outreach, extensive needs assessment and ongoing research into the challenges facing the community.",0
EIN-81-4065326,HIGH,To execute a private/public partnership with the State of New York's Parks Department to apply adaptive reuse of a Parks unused facility to establish and operate a year-round Performing Arts Center for tourists and the surrounding communities.,0
EIN-36-4547240,HIGH,"to provide educational opportunities and support for students enrolled in the wall isd, wall, tx who are involved in agriculture.",0
EIN-52-1519025,HIGH,"to enhance behavorial health wellness of individuals, families and communities through promotion of behavorial health wellness early intervention treatment recovery creation of leadership of an integrated network of providers that promote universal access to comprehensive, data driven services advocacy to aligh resources/policy/programs",0
EIN-99-0276738,MEDIUM,"the prevention of juvenile delinquency by providing a facility for youths, where they could pursue recreation, educational, and counseling activities.",0
EIN-13-4284712,MEDIUM,"Meet with various religious leaders both locally and nationally to train them, to equip them, and to empower them, and to engage them on moral issues. Conferences and meeting were held in over 15 states.",1
EIN-34-1947257,HIGH,"bioenterprise was a business formation, recruitment, and acceleration initiative designed to foster economic development and to grow health care companies, and commercialize bioscience technologies to improve public health.",0
EIN-13-3408731,HIGH,"network for teaching entrepreneurship (""nfte"") is the leading educational nonprofit focused on teaching startup skills and activating the entrepreneurial mindset in youth from under-resourced communities. research shows that the entrepreneurial mindset (which includes skills such as innovation, self-reliance, comfort with risk, communication, critical thinking and problem-solving) prepares young people for life-long success. equipped with the entrepreneurial mindset and empowered by the academic and startup business skills nfte teaches, program alumni are college- and career-ready, prepared to thrive in the 21st century innovation economy. nfte has more than three decades of experience implementing its award-winning, project-based curriculum and has reached well over one million students across the u.s. and abroad since its founding.",0
EIN-82-2945261,HIGH,"Hannah Grace Family provides services to foster families and foster kids parents, not provided by government or other service providers, including this year a music program that provides keyboard and guitar lessons to children that couldn't afford them. At the end of the program, the children were gifted their instrument. Parent support included classes, apparel, food and gifts for the children",0
EIN-38-3800355,HIGH,"the south side community organization is a non-profit organization which exist to promote culture, education, safety and unity in unity in the city of tracy ca",1
EIN-47-2455116,HIGH,"the ""centro de investigacion, entrenamiento y reclutamiento del trabajador organizado"" (the ""center for research, training and recruitment of organized workers, or ""cierto"") organizes farmworkers around the world to collaborate with their employers and together engage the global supply chain to identify and implement opportunities to create value - to the benefit of farmworkers, their employers, the companies who purchase the farm's products, and the consumers who enjoy those products. this in turn will benefit workers, employers, retailers and consumers in the united states and abroad.",0
EIN-52-1711352,HIGH,"Provides care services to meet medical, immotional, social, educational and housing needs of high risk, low-income pregnant women, including those that are substance abusers.",0
EIN-26-4313491,LOW,pregnancy crisis assistance,0
EIN-85-4098689,MEDIUM,"the specific purpose of this corporation is to promote prayer through training, resource development and events.",1
EIN-26-3045632,HIGH,"CASMS shall serve its members, communities of mass spectrometry and the public by (a) educating the public and advancing public knowledge in the development and application of mass spectrometry and its related technology in all fields; (b) promoting the advancement of mass spectrometry and its related application aspects; (c) facilitating communication among mass spectrometrists and any individual or group who is interested in mass spectrometry and its related fields; and (d) providing a forum for the exchange and dissemination of technical or non-technical knowledge and information in the mass spectrometry and its related fields.",0
EIN-27-3077640,HIGH,"Minds Matter Bay Area (MMBay) is an education nonprofit that connects driven and determined students from low-income families with the people, preparation, and possibilities to succeed in college, create their future, and change the world.We guide driven yet underserved students to graduate from the nations most selective colleges.",0
EIN-47-2958834,MEDIUM,promoting public education on the preservation of modern architecture in the pacific islands,0
EIN-93-1087246,MEDIUM,"to encourage safety, participation, cooperation and an exchange of information between police motor officers and between law enforcement agencies with police motor programs.",0
EIN-90-0787411,MEDIUM,promote social equality in the public school system by identifying themes of social injustice and advocating for corrective measures.,0
EIN-56-2619437,HIGH,"to provide relief to sick, underpriveleged and unfortunate children throughout the five boroughs of new york city.",0
EIN-58-1974428,LOW,"Park and recreation improvements in Hoover, Alabama",0
EIN-27-2249572,HIGH,"the activities of bioplanet usa corp. are focused on generating environmental awareness on the effects of climate change, deforestation and natural disasters in forests, creating consciousness of communities to protect these sites and educating people in the communities around the sites on the benefits of importance of trees. in the process of generating awareness, the organization will encourage people to germinate tree seeds and take care of the seedlings until they grow to a size where they must be transplanted. at that point, the organization will collect the tree seedlings and use them to reforest devastated areas.",0
EIN-92-0776721,LOW,Opera Education and Performance,0
EIN-47-3936652,HIGH,to provide healthcare navigation services for improving access to healthcare coverage and healthcare services to reduce health disparities in underserved and vulnerable communities.,0
EIN-20-0702362,MEDIUM,"the purpose for which the corporation is organized and to be operated are exclusively educational, charitable, and to foster national or international amateur sports competition within the meaning of sections 501(c)(3) and 501(j) of the code. in accomplishment of such purposes, the corp. will: (i) promote the physical & mental well-being of the youth of the dallas-ft. worth metropolitan area, through the promotion & instruction of amateur rowing by providing clinics, workshops, or lessons, which are most likely to achieve this ends; (ii) promote, sponsor, & advance an understanding & appreciation of the sport of rowing in the dallas-ft. worth metropolitan area, through participation in recreational & competitive rowing programs & events, & regular instructional programs in the techniques & skills of rowing at all ability levels, which are most likely to achieve this ends; (iii) restoration, maintenance, leasing & operation of the historic white rock lake boathouse, owned by the city of",0
EIN-20-1294360,MEDIUM,"the fund provides eligible members with apprenticeship, education, and training.",0
EIN-82-3234513,LOW,The Access Foundation,0
EIN-46-3623611,HIGH,to provide graduate degree and certificate programs oriented toward the needs and goals of its students who are serving in or seek to qualify for entry into the fields of national security and intelligence.,0
EIN-26-1451284,LOW,We are a Christian religious organization dedicated to restoring people back to a right relationship to God and one another.,1
EIN-72-1458485,HIGH,"the organization's purpose is to research, design and implement programs addressing social service needs in the metropolitan shreveport-bossier community.",0
EIN-81-2614196,HIGH,"The Organization promotes its public awareness program online through its website and social media with the hope of improving the health, well being and safety of Police Officers and their families as well as promote better relations between law enforcement and their communities.",0
EIN-83-4538564,HIGH,"The Lucerne Area Revitalization Association is a public benefit corporation formed to engage in area projects designed to foster job creation and improve quality of life and health, and to pursue activities related to community development in the absence of the redevelopment agency.",0
EIN-46-2885736,MEDIUM,The REA mission is to produce works of art - primarily theatre - that tackle critical issues of social justice. In partnership with other non-profits we provide educational post-performance talk-backs with the audiences.,0
EIN-43-1239865,MEDIUM,"to advocate the quality of life through effective use of parks and recreation opportunities, education and resources",0
EIN-88-0197393,HIGH,provide financial assistance to families of officers injured or killed in the line of duty.,0
EIN-20-1233033,MEDIUM,to provide support to ashtabula county,0
EIN-87-2266159,MEDIUM,"We collect donations and use them to buy soap, toilet paper and other basic necessities. We serve on average 30 people a month, and have helped hundreds of homeless individuals overall.",0
EIN-81-1458006,MEDIUM,to support the cherokee county fair,0
EIN-43-1094356,LOW,church/ evangelistic association,1
EIN-47-0835035,MEDIUM,the purpose of joslyn art museum foundation is to raise funds to support the joslyn art museum and manage the museum's endowment funds.,0
EIN-92-1277697,HIGH,"The purpose of the organization is to support the students, parents, staff, and coaches of the Academy Bee Athletic Programs by recruiting volunteers, raising funds, and condcuting events.",0
EIN-75-2886133,MEDIUM,Child advocacy welfare and parent education,0
EIN-20-8643136,HIGH,"the stockton lacrosse club is a community-based recreational forum dedicated to educate all children and young adults between the ages of 5-18 regardless of race, creed, sex, economic status or ability, in the development of their character and life skills through the honorable sport of lacrosse.",0
EIN-75-1746272,MEDIUM,"To provide mediation, conciliation, and consensus-based strategies for resolving disputes in a fair, expeditious, and inexpensive manner in an effort to assist in reduction of the Dallas County court system case load.",0
EIN-93-1306735,MEDIUM,"to provide an abundant huntable wildlife resource in oregon for present and future generations, enhancement of wildlife habitat and protection of hunters' rights.",0
EIN-22-3475227,LOW,hockey league for boys & girls,0
EIN-04-2708782,LOW,to enhance library services,0
EIN-93-1223990,HIGH,to promote the on-going training programs of the long beach fire department and the city of long beach. to conduct fund raising events to support the activities of the service programs and to raise the public's awareness of these services.,0
EIN-23-3000015,HIGH,"to promote fitness among women and invite women to participate in running and walking to enhance their physical, mental and emotional well-being; to support women with breast and gynecologic cancers and their families and to contribute to funding for related programs and research in the lehigh valley; and to educate women about cancer awareness, prevention and treatment.",0
EIN-82-1598894,LOW,medical related care for veterns,0
EIN-23-1657371,HIGH,"founded in 1966, the carlisle early education center (ceec) continues to enhance its commitment to provide a nurturing environment that promotes learning and quality child care to all families.",0
EIN-23-2928408,LOW,education - land management and growth,0
EIN-81-0609771,MEDIUM,"To create a place for people in religion of Cao Dai to worship, helping each other. Everything is based on volunteering contributions of members.",1
EIN-73-1509456,LOW,a non-profit zoo for children,0
EIN-01-0928277,MEDIUM,"the islamic center of longview's mission is to deveolp, support and pormote and islamic way of life and to ensure the emergence of an american muslim identity.",1
EIN-11-3824935,HIGH,Provide booster Ath Dept support to Midpark High School public,0
EIN-81-2402242,LOW,Civic education through investigative journalism and trainings on accessing government records and improving local journalism.,0
EIN-47-1381989,MEDIUM,the purpose is to create funds through donations exclusively for exempt organizations that qualify under section 501(c)(3) established for youth development.,0
EIN-20-1253962,MEDIUM,"the organization's mission is to promote, foster, plan, develop, provide, build, purchase, lease, operate, supervise and/or maintain residential facilities in fairbanks, alaska that are specifically designed to meet the physical, emotional, recreational, social, financial and similar needs of senior individuals within the greater fairbanks, alaska community.",0
EIN-82-0555379,MEDIUM,"to provide protection of dwellings, buildings, and property situated in and around fannin, texas from damages caused by fire.",0
EIN-23-3027241,HIGH,"To provided active people 55 years of age or older with services to meet their educational and social needs, enhance their lifestyle, and encourage their independence and involvement in the community.",0
EIN-56-1849170,HIGH,"To support the functions of, or to carry out the purposes of The Young Men's Christian Association of Greensboro, Inc.",1
EIN-22-6085995,HIGH,to provide shelter and care for animals in need and reduce euthanasia of surplus animals through spaying and neutering.,0
EIN-54-1483949,MEDIUM,provide affordable housing solutions for low-income families.,0
EIN-75-2148246,LOW,School band music education,0
EIN-98-6001034,LOW,to conserve and promote scotland's natural and cultural heritage.,0
EIN-46-3101100,HIGH,"Forget Me Not, Inc. (FMN) is a true No Kill animal rescue. We are dedicated to saving the lives of shelter pets who are impounded in kill shelters and at risk for euthanasia. FMN identified the need for a rescue willing to save hard-to-place (e.g., bully breeds, seniors, special needs, injured, and pregnant mothers) in Manatee County. We are committed to nurture and care for the hard-to-place pets, including medical and behavioral care, until the pet is matched with an appropriate adopter and home. Dogs are housed in our kennels or in foster homes. FMN also serves as a sanctuary to those pets unable to overcome physical and/or emotional trauma. Through education and rescue efforts, we want to help the community become no kill, so that every pet is given the time to find a home, and no pet is killed due to space limitations.",0
EIN-32-0127778,HIGH,To support and encourage the McMinn County High School Band.,0
EIN-59-1708452,HIGH,"the haven, a nationally accredited group home for boys ages 9-17, is dedicated to providing a safe, loving and stable environment that fosters the development of self-esteem and independence while empowering each young man to reach his full potential.",0
EIN-84-1644026,LOW,job training & social services programs,0
EIN-48-0981221,LOW,Development of amateur wrestling,0
EIN-46-3009002,MEDIUM,To promote a sense of community integration and multicultural appreciation by holding an annual parade.,0
EIN-03-0278673,LOW,promotion of theatrical arts and sponsorship of craft fair,0
EIN-22-2786159,LOW,Advocacy in combating alcoholism and drug addiction,0
EIN-56-2366373,MEDIUM,to provide management consulting services to educational institutions.,0
EIN-46-5601185,HIGH,"the caliber foundation aims to offer support to victims, families and communities that are devastated by illegal gun violence in america.",0
EIN-22-2217214,HIGH,the organization provides affordable psychotherapy and psychoanalysis for residents of local communities. patients obtain mental health services from highly skilled professionals who are receiving advanced training in psychotherapy and psychoanalysis.,0
EIN-23-7240163,LOW,camp chavateleth operates a summer camp for girls,0
EIN-33-0619866,HIGH,"to repair, rehabilitate and modify homes in national city for low income homeowners who are elderly or disabled and for families with children so they can continue to live with dignity independently and safely. provide support for youth groups of national city.",0
EIN-77-0558435,HIGH,"we educate and inform the public through the use of all media, and particularly the youth of ventura and contiguous counties, regarding figure skating with emphasis on its pleasures, healthful aspects, and its value as an activity which contributes to the development of fitness and character in the youth we serve. we offer weekly use of the oxnard ice skating center to our members for the purpose of assisting figure skaters with practice and perfection of their skills to prepare them for local skating association competition.we offer test sessions six times per year for the purpose of assisting skaters in advancing levels of moves of the field and free skating.we offer recitals for the purpose of sharing with and informaiton the public of the pleasures and healthful aspects of figure skating.we manage and operate the ice skating rink for the purpose of promoting the benefits and enjoyment of figure skating with emphasis on its pleasures, healthful aspects, and its value as an activity",0
EIN-13-6168255,HIGH,Manage the facility for the cultural events of the owners: The organization supports the management of a cultural facility owned by three non-profit organizations working for the propagation of Hungarian culture in New York State,0
EIN-75-6026210,MEDIUM,to support the activities of the circle ten council,0
EIN-04-3140938,HIGH,"Hallmark Health Medical Associates, Inc. supports the charitable mission of Hallmark Health System, Inc. through the employment of primary care physicians and specialists at practices throughout the Hallmark Health service area. There are, currently, 50 physicians operating practices located in nine different communities within the Hallmark Health service area.",0
EIN-81-1651338,LOW,to support christian ministries w financial commerce.,1
EIN-52-1765208,HIGH,"to assist in the development of projects and other activities for the improvement and development of the city of newark, nj",0
EIN-47-3786316,LOW,raise multicultural awareness,0
EIN-45-5435716,HIGH,We are a non-emergency medical air transportation service. We provide free air transportation to individuals that have great distances to travel and are either to ill to travel or simply cannot afford air travel by commercial means. We also do Domestic violence relocation.,0
EIN-43-1829043,MEDIUM,To build low income affordable housing.,0
EIN-91-1327775,LOW,The Institute's mission is to inspire and empower environmental stewardship for all through transformative experiences in nature.,0
EIN-74-2488709,HIGH,"the round rock isd partners in education foundation develops and allocates resources to the round rock independent school district (rrisd) to enrich, enhance, and maximize the quality of education for all students.",0
EIN-26-3194013,LOW,To provide continuing education for health professionals.,0
EIN-92-3988600,HIGH,"increasing access to healthy food, improving community health, supporting entrepreneurs and cooperatives from low-income communities; and creating opportunities for at-risk residents to earn sustainable, family-supporting wages and build wealth.",0
EIN-47-5245813,LOW,"International goodwill between teens through baseball, ballet and other common interests.",0
EIN-31-1513768,HIGH,"EDCO is committed to the revitalization of Dallas through developing infrastructure, the acquisition of property and funding to provide quality housing opportunities for working families, community facilities and programs which encourage leadership, education, public safety and community involvement.",0
EIN-88-1488032,HIGH,"Our goal is to provide disaster relief aid to the desperately suffering people in Ukraine in the form of essential items such as food, water, clothes and shoes, hygiene products, medical supplies, medical equipment, and through monetary help. Also our activities cover an educational purpose introducing people in the USA to Ukrainian culture. Through art and music Hope4Ukraine spreads the knowledge about Ukrainian traditions.",0
EIN-71-1030745,HIGH,"the specific purpose of the organization is to sponsor fundraising activities to obtain funds which will be used to provide education, assistance and life-skill training programs to orphaned children in russia in order to maintain and improve the physical well-being of the children.",0
EIN-43-6053321,LOW,providing a community center,0
EIN-13-3935945,HIGH,"the organization maintains unparalleled access to the likud ministers and members of knesset as well as close relationships with other israeli dignitaries and policy and opinion makers. the organization's programs feature these individuals as guest speakers, lecturers and educators. the organization informs and educates its members through diverse programming to provide its members with opportunities to meaningfully interact with israel's leaders.",1
EIN-76-0180163,HIGH,"the houston fire museum engages, educates, and enlightens the community on the importance of fire and life safety, and preserves the history and heritage of houston's diverse fire services.",0
EIN-92-3166871,LOW,"Rescue, rehab, release native wildlife",0
EIN-16-1388366,MEDIUM,To stimulate public interest in musical performing arts,0
EIN-95-1183919,HIGH,"The mission of San Antonio Community Hospital is to improve the overall health of our regional community by offering healthcare services that both comfort and cure in settings that inspire confidence and in a manner that earns the trust of our patients, our physicians, and our employees.",0
EIN-74-3162792,LOW,after school programs and basketball league.,0
EIN-87-0609428,HIGH,"the english language center of cache valley, inc. teaches english, basic life skills, u.s. citizenship preparation, and employment education to adult speakers of other languages. these services act as a catalyst for real education-based change leading to opportunities for individual and community prosperity, self-sufficiency, and cultural integration. services began january 1999. since inception, students from more than 90 countries have attended elc.",0
EIN-46-5010065,HIGH,The Alec G Cunningham Foundation was established in 2014 to support literacy education for physically handicapped children and adolescents who use Augmentative and Alternative Communication (AAC) devices. We run a one-week camp in Michigan for children that use ACC devices and host conferences featuring well-known academic experts in the field for educational professionals and parents.,0
EIN-87-1701857,MEDIUM,"to leverage the power of the law, informed advocacy and strategic partnerships to reform washingtons management of its fish and wildlife, to protect and preserve the states fish, wildlife and wild spaces.",0
EIN-81-5217454,HIGH,Safer DIY Spaces works to preserve affordable artist space and live/work housing by providing technical assistance and legal support to make life-safety improvements and prevent displacement of vulnerable populations living and working in non-code compliant buildings,0
EIN-47-1094328,MEDIUM,Education and Community Assistance,0
EIN-82-1149245,LOW,We are a Christian Church spreading the Word of our God,1
EIN-83-4398953,MEDIUM,"the corporation is organized exclusively for charitable, educational, religious, or scientific purposes within the meaning of section 501(c) (3) of the internal revenue code. organize and promote bbq/cooking events to raise money for charity and promote community business",0
EIN-23-7125932,HIGH,"the o'neal school is a college preparatory schools dedicated to the development of academic excellence, strength of character and physical well-being of its students in an environment where integrity, self-discipline, and consideration for others are fundamental.",0
EIN-20-4044588,LOW,scholarships and school improvements,0
EIN-93-0961591,MEDIUM,"the foundation's mission was to support the oregon college of art and craft, which was the sole beneficiary of the foundation's activities.",0
EIN-47-5513250,HIGH,Community Health Resource Network provides primary care medical services to beneficiaries in both Lake and Mendocino County under a contract with Partnership Healthplan of California. Its mission is to provide medical services to the underserved population of Lake and Mendocino County.,0
EIN-95-4152992,HIGH,to provide scholarships to worthy high school students and financial assistance to worthy groups or activities in the community.,0
EIN-36-3662441,HIGH,"The Parent Teacher Organization is a group of parent and teacher volunteers who organize social and educational events, and help foster a relationship between the school, families, and the teachers.",0
EIN-87-0478541,LOW,reimbursement and monitoring of daycare home providers for meals under cfda 10 558,0
EIN-35-2465059,LOW,promote collegiate amateur baseball,0
EIN-22-3408320,MEDIUM,"the holland mutual chartitable health corporation was established to operate for the advancement of charitable health care issues and care as well as other charitable, religious, educational and scientific purposes.",1
EIN-26-0461526,LOW,pregnancy support program,0
EIN-46-4867711,LOW,"mountaineer's school of autism is a private, non-profit school tailored to meet the individual needs of students with autism and other disabilities",0
EIN-53-0244622,MEDIUM,"the federation's purposes are to conduct research and educational programs, and to disseminate information on abstracting, indexing, publishing, and information industry trends.",0
EIN-59-3475379,MEDIUM,to promote the iranian culture and to engage in a cross-cultural educational exchange through literary and social events.,0
EIN-47-2380059,LOW,medical education research,0
EIN-23-7410665,MEDIUM,"our mission is to provide nourishing meals to those in need of assistance, whether due to age, infirmity or recovery from an illness or injury.",1
EIN-63-0920873,MEDIUM,to preach the gospel of christ and support other like ministries,1
EIN-36-3266500,HIGH,to offer scholarships to individuals and promote development opportunities at minnesota west community and technical college through the development of external and internal constituencies of this corporation.,0
EIN-27-4702892,LOW,To provide children with financial,0
EIN-23-7008475,HIGH,present chamber music concerts for the education and cultural enrichment of the members of the community including local public schools.,0
EIN-75-2353633,HIGH,To teach the youth the importance of livestock. How to care for animals and the business end of raising animals.,0
EIN-16-1400105,HIGH,"Provide Fire Services to over 3,000 homes in the Romulus Fire District",0
EIN-82-3768946,LOW,"the mission of west ward street development corporations, an ohio nonprofit corporation (""wwsdc""), is to manage the long-term facility needs for wittenberg university, an ohio nonprofit corporation and educational institution exempt from taxation under section 501(c)(3) of the internal revenue code, including the long-term facility ownership, maintenance, replacement and capital reserve for wittenberg and securing funds to support those needs.",1
EIN-46-5691240,HIGH,"Arthur A. Collins Legacy Association (AACLA) is committed to preserving and honoring the legacy and memory of Arthur A. Collins and the significant contributions he made in the world of communications, aerospace and defense technologies. AACLA is organized for the purpose of promoting education in the areas of Science, Technology, Engineering and Mathematics (STEM). AACLA works to inspire and teach future generations by the preservation and display of artifacts, conducting educational events, exploring grants and other funding opportunities which may ultimately lead to the creation and operation of a facility in Cedar Rapids, Linn County, Iowa. The facility would be used by schools, other non-profit organizations, and the general public.",0
EIN-85-0282848,LOW,It is the mission of the Taos Volunteer Fire Department to protect the lives and property of the citizens of Taos and the surrounding areas.,0
EIN-90-0742263,HIGH,"the mid missouri mission team's purpose is to serve others and share our faith in the lord jesus christ with people in the local community. we paint houses, clear brush, do minor repair work to homes and meet many other needs as they are presented to us.",1
EIN-27-5467980,LOW,bridging freedom's mission is to combat domestic minor sex-trafficking by bringing restoration to those rescued and victim prevention to those we reach with our message.,1
EIN-45-1630208,HIGH,provide the highest quality nursing care and rehabilitation possible for residents requiring short term or long term care.,0
EIN-87-2952549,LOW,Chiropractic Continuing Education,0
EIN-46-5633237,HIGH,"The mission of Connected Marriage is to equip people to help marriages to become healthy and satisfying. We serve pastors, marriage mentors, churches and mental health professionals. We provide a unique online tool that includes interactive curriculum, surveys and customized reports to help restore hope and healing to couples.",1
EIN-85-3225027,MEDIUM,"operated exclusively for the benefit of community link mission, inc.",0
EIN-23-1919421,MEDIUM,"provide occupational training, education, and testing for members of International Brotherhood of Electrical Workers local #126.",0
EIN-88-1807644,MEDIUM,"to perform surgery in underserved communities. to raise funds in order to fund international medical missions for cleft lip and palate surgery, as well as eye surgery.",0
EIN-45-4093437,HIGH,our goal is to effectively help people know christ better. we offer christian-programmed youth camps and retreats,1
EIN-06-1104354,HIGH,"An independent, nonprofit school serving the lower Fairfield County area of Connecticut for children ages three to eight, and providing an environment that fosters in children the joy of learning through the use of innovative materials and teaching methods.",0
EIN-47-4613148,MEDIUM,Work to expand women's economic opportunities globally through exchanges of working solutions and creative strategies forged by women leaders in different parts of the world.,0
EIN-87-1771817,HIGH,Building Breaches mission is to provide help and hope to the homeless population.,1
EIN-87-4131795,HIGH,"to provide affordable housing services, development and support. to enhance the lives of the community members and residents.",0
EIN-80-0527446,HIGH,The MSU Club of West Michigan Inc. is the chartered alumni organization for Michigan State University for the counties of Kent Ottawa Allegan and Barry. The mission of the MSU Club of West Michigan is to promote and support Michigan State University by engaging and connecting Spartan alumni and fans in the West Michigan community. Our vision is to be a leader among MSU alumni clubs in the areas of Spartan engagement investment diversity and service.,0
EIN-35-2683702,LOW,housing search assistance,0
EIN-04-2615324,LOW,Animal Welfare,0
EIN-46-0667836,MEDIUM,"the organization's mission is to inspire children in grades k-5th to become joyful, confident, creative, bilingual learners, helping them develop a strong biliterate academic and cultural foundation with a sense of community and global awareness.",0
EIN-34-1096604,MEDIUM,committed to putting friends into the lives of children through one-to-one mentoring and hope into those children's futures.,0
EIN-82-4976224,MEDIUM,great plains land and wildlife conservation corporation is a non-profit formed to protect and enhance the quality of life in the united states of america through the permanent protection of land and water resources.,0
EIN-81-5321683,LOW,vocational - wood shop educational - supports a school benevolence - increasing opportunities,0
EIN-93-2584695,LOW,I AM AN ANGEL is a non-profit organization based on the premise of making a difference in peoples' lives,1
EIN-33-0532347,LOW,Worship and Praise of Jesus Christ and spread out the word of god.,1
EIN-31-1011765,HIGH,"hospice of the panhandle provides compassionate care to those with life limiting illness, and assists their families and caregivers.",0
EIN-86-3523409,MEDIUM,Rehab care rescue and unwanted sick injured elderly equines and animals in need of care.,0
EIN-59-3135429,LOW,health education and disease prevention,0
EIN-30-0575539,HIGH,"to create, form and establish an organization to benefit senior citizens in rural dutchess county by providing meals and social activities, to provide transportation to and from necessary appointments, to aid and assist senior citizens in obtaining social services in the community, to aid other organizations and agencies with programs dedicated to the improvement of life for senior citizens",0
EIN-93-1848072,MEDIUM,To honor our veterans by bringing them (at no cost) to visit the nations capital to visit the memorials that commemorate their service.,0
EIN-64-0506632,HIGH,To provide affordable housing for the elderly and handicapped.,0
EIN-74-2537664,LOW,Provide adult day care/health care services,0
EIN-82-4523225,LOW,Language and culture preservation,0
EIN-46-0607080,MEDIUM,provide spiritual counseling and mentoring to pastors and church leaders,1
EIN-62-0928312,LOW,Assists seniors to stay out of the nursing home by providing sitters,0
EIN-90-0634376,MEDIUM,"c40 is a network of the world's megacities committed to addressing climate change. c40 supports cities to collaborate effectively, share knowledge and drive meaningful, measurable and sustainable action on climate change. see schedule o for additional information.",0
EIN-73-1443028,HIGH,to provide medical and other aid to children in asia,0
EIN-41-1693478,LOW,Preservation & Promotion of Square Dancing,0
EIN-45-5098692,HIGH,"we. empower. veterans. the veterans one-stop center of wny, inc. is the region's premiere veterans service and advocacy not-for-profit collaborative agency empowering veterans, veteran families, and service members in achieving economic stability, housing stability, and emotional health & well-being in support of their transition to civilian life.",0
EIN-51-0665517,MEDIUM,SEVENTY SQUARE METERS is dedicated to promoting education and research in respiratory care by increasing public awareness of the Respiratory Care Profession.,0
EIN-94-2914787,HIGH,"To acquire, provide, develop, finance, rehabilitate, own, and operate decent, safe and sanitary housing affordable to persons and households of low income and, thereby, to lessen the burdens of government by developing, owning, and managing housing targeted to low income households.",0
EIN-47-2210841,HIGH,"to strengthen indigenous communities through programs encouraging and supporting cultural, self-determination, education access, and advancement of health, wellness, and youth leadership.",0
EIN-37-1460143,MEDIUM,Provide emergency food and clothing for families,0
EIN-27-4083492,LOW,"The corporation is organized exclusively for charitable, leterary or educational purposes, withing the meaning of section 501 (c)(3) of the Internal Revenue Code of 1986, as amended The Code, including, without limitation: child placement, adoption, basic needs, mentorship.",0
EIN-46-5070999,LOW,rescue center house and medical,0
EIN-46-2452081,LOW,cheritable and cultural activitis,0
